collection_no,NOW_loc,collection_name,collection_aka,stratgroup,formation,member,cc,cc.1,state,county,early_interval,late_interval,max_ma,min_ma,diff,notes,
16615,CC7B,Rancho del Oro,"SDSNH 3431-3437, 3441, 3442, 3444-3446, 3449, 3451, 3461-3464, 3466, 3467",,Santiago,upper,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16620,CC7B,Rancho del Oro Village II Site 5 (SDSNH 3465),"Mesa Drive, in part",,Santiago,B,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
16616,CC7B,Rancho del Oro Village III Site 10 (SDSNH 3440),"Mesa Drive, in part",,Santiago,B,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
16618,CC7B,Rancho del Oro Village III Site 10-S (SDSNH 3448),"Mesa Drive, in part",,Santiago,B,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
16617,CC7B,Rancho del Oro Village III Site 13 (SDSNH 3443),"Mesa Drive, in part",,Santiago,B,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
16619,CC7B,Rancho del Oro Village III Site 13-N (SDSNH 3450),"Mesa Drive, in part",,Santiago,B,US,US,California,San Diego,Late Uintan,Duchesnean,46.2,37.2,9,,
16844,CC7C,Kelly's Ranch (SDSNH 3495),,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,"changed to C to match Walsh 1996, says 3495 is closer to Laguna Riviera",
16591,CC7C,Laguna Riviera (RV-67113),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16590,CC7C,Laguna Riviera Quarry,"LACM 68102, UCMP V-6839, RV-6830",,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
129889,CC7D,Ocean Ranch Phase 1B,SDSNH locality 5721,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
129887,CC7D,Ocean Ranch Phase 2A Bone Sands,SDSNH locality 5415,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
129888,CC7D,Ocean Ranch Phase 2C Bone Sands,SDSNH locality 5416,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
16850,CC7D,Oceanside East,LACM 4022; SDSNH 3235; Watertower Hill,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
129891,CC7D,Rancho Del Oro Road Extension,SDSNH locality 4821,,Santiago,C,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
16527,CC7D,Bob Templeton Two,UCMP V-68102,,Santiago,,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
16510,CC7D,Aviara (SDSNH 3487),,,Santiago,C,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16553,CC7D,Emerald Ridge Site 1,SDSNH 4081,,Santiago,C,US,US,California,San Diego,Late Uintan,,46.2,40.4,5.8,,
16554,CC7D,Emerald Ridge Site 2,SDSNH 4082,,Santiago,C,US,US,California,San Diego,Late Uintan,,46.2,40.4,5.8,,
16603,CC7D,Mission del Oro (Upper),"SDSNH 3570, 3572, 3574",,Santiago,C,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16602,CC7D,Mission del Oro Site 3 (SDSNH 3573),,,Santiago,C,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16629,CC7D,Tamarack Avenue (SDSNH 3279),,,Santiago,C,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16508,CC7D,Airport Business Center II Site 2 (SDSNH 3512),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16526,CC7D,Bob Templeton One,UCMP V-6886,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16541,CC7D,Carlsbad Palisades,LACM 3881,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16543,CC7D,Chestnut Avenue (LACM 3979),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16544,CC7D,Chestnut Avenue (UCMP V-67195),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16545,CC7D,Chestnut Avenue Two,UCMP V-68110,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16573,CC7D,Half Day Pocket,UCMP V-6885,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16595,CC7D,Longview Drive,LACM 3884,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16610,CC7D,Nowgone Cut,UCMP V-71053,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16611,CC7D,Oceana (RV-7225),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16612,CC7D,Oceana (RV-7226),,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16613,CC7D,Oceanside East One,UCMP V-72089,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16632,CC7D,Three Hour Pocket,UCMP V-6887,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16635,CC7D,Tom's Jaw,UCMP V-68108,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16636,CC7D,Trieste Drive,LACM 3883,,Santiago,,US,US,California,San Diego,Uintan,,46.2,40.4,5.8,,
16533,CC7E,Camp San Onofre,Onofre Locality One; UCMP V-72088,,Santiago,,US,US,California,San Diego,Uintan,Duchesnean,46.2,37.2,9,,
16765,CC8,Aqueduct Tower (SDSNH 3383),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16696,CC8,Baltimore Locality (UCMP V-71055),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16770,CC8,Briercrest Park (SDSNH 3539),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16764,CC8,Cloud 9 (SDSNH 3273),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16766,CC8,Collwood South (SDSNH 3426),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Late Uintan,,46.2,40.4,5.8,,
16768,CC8,Cylindracanthus Spot (SDSNH 3429),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16693,CC8,Fletcher Hills (LACM 65190),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16694,CC8,Fletcher Parkway (UCMP V-6871),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16700,CC8,Hutch's Channel,UCMP V-71190,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16695,CC8,Jack-in-the-Box (UCMP V-6893),UCR RV-7070,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16767,CC8,Jackson Offramp (SDSNH 3428),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16771,CC8,La Mesa (UCMP V-85081),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16692,CC8,Lake Murray (LACM 1723),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16691,CC8,Lake Murray Blvd.,LACM 1278,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16772,CC8,Mission Valley Formation (SDSNH 3627),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16773,CC8,Mission Valley Formation (SDSNH 3741),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16774,CC8,Mission Valley Formation (SDSNH 3742),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16775,CC8,Mission Valley Formation (SDSNH 3822),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16776,CC8,Mission Valley Formation (SDSNH 3870),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16777,CC8,Mission Valley Formation (SDSNH 4019),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16778,CC8,Mission Valley Formation (SDSNH 4020),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16779,CC8,Mission Valley Formation (SDSNH 4038),,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16703,CC8,Montezuma's Revenge,UCMP V-72150,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16699,CC8,Nocut Cut,UCMP V-71187,,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16769,CC8,Stonecrest Site 28 (SDSNH 3537),"La Mesa, in part",,Mission Valley,,US,US,California,San Diego,Early Uintan,,46.2,40.4,5.8,,
16781,CC8IIA,Miramar Sandstone (SDSNH 4448),,,Pomerado,Miramar,US,US,California,San Diego,Late Uintan,,46.2,40.4,5.8,,
16780,CC8IIA,Eastview,"SDSNH 3493, 3755, 3757",,Pomerado,,US,US,California,San Diego,Late Uintan,,46.2,40.4,5.8,,
17039,CC8IIB,Spring Canyon,"SDSNH 4041, 4042; Upper Pomerado Conglomerate",,Pomerado Conglomerate,,US,US,California,San Diego,Duchesnean,,40.4,37.2,3.2,,
16785,CC9A,Tapo Canyon (Lower),Brea Canyon West,,Sespe,Bed CS1,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16787,CC9A,Tapo Canyon (LACM 5857),,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16788,CC9A,Tapo Canyon (LACM 5859),,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
167831,CC9A,Cooper Center 02020,badlands northwest of ETC Windy Ridge; OCPC 2020; OCPC loc. 2021; OCPC loc. 2024; Basal Orange County S/V fauna,,Sespe,,US,US,California,Orange,Late Uintan,,46.2,40.4,5.8,,
16784,CC9A,Tapo Canyon (LACM 5855),,,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16786,CC9A,Tapo Canyon (Upper),"CIT 180, 217 Tapo Canyon",,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16815,CC9A,LACM 6081,,,,,US,US,California,Ventura,Eocene,,56,33.9,22.1,,
16816,CC9A,Tapo Canyon (LACM 6592),,,,,US,US,California,Ventura,Eocene,,56,33.9,22.1,,
16783,CC9A0,Lower Sespe Formation,"LACM 5887, 5888",,Sespe,Lower,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16793,CC9AA,Brea Canyon East,"CIT 127, 151, UCMP V-72064, LACM 5140, 5619, 5631, 5860",,Sespe,Bed CS4,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16795,CC9AA,Upper Brea Canyon,"CIT 152, LACM 5620, 5629, 5630",,Sespe,Bed CS5,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16796,CC9AA,Brea Canyon (Bed CS6),LACM 5865,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16799,CC9AA,Brea Canyon (Bed CS7),,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16794,CC9AA,Brea Canyon (Bed SS5),LACM 5863,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16797,CC9AA,Brea Canyon (Lower Bed SS7),LACM 5867,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16798,CC9AA,Brea Canyon (Upper Bed SS7),LACM 5866,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16789,CC9AA,Kelly Quarry,LACM 5661,,Sespe,Middle,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16790,CC9AA,Brea Canyon (Bed CS2),CIT 207,,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16791,CC9AA,Brea Canyon (Bed CS3),"CIT 202; LACM 5616, 5660",,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16792,CC9AA,Brea Canyon (Bed SS4),"LACM 5618, 5627, 5628",,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16814,CC9AA,Brea Canyon West (LACM 3256),,,Sespe,,US,US,California,Ventura,Uintan,,46.2,40.4,5.8,,
16801,CC9B,Strathern (Bed CS13),CIT 128 (in part),,Sespe,,US,US,California,Ventura,Uintan,Duchesnean,46.2,37.2,9,,
16802,CC9B,Strathern (Bed CS14),"CIT 128 (in part), LACM 5636",,Sespe,,US,US,California,Ventura,Uintan,Duchesnean,46.2,37.2,9,,
16800,CC9B,Strathern (Bed CS8),"CIT 149, UCMP V-87156, LACM 5633",,Sespe,,US,US,California,Ventura,Uintan,Duchesnean,46.2,37.2,9,,
16813,CC9B2,Simi Valley Landfill,LACM 5876,,Sespe,Middle,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16805,CC9BB,Pearson Ranch (CIT 146),,,Sespe,Bed SS16,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16804,CC9BB,Alamos Canyon (Bed CS15),"CIT 179, 218, UCMP V-5242, LACM 3374, 3375, 3378, 3380",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16806,CC9BB,Pearson Ranch (Bed CS16),"CIT 148, LACM 3379, 5641",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16807,CC9BB,Pearson Ranch (Bed CS17),"LACM 3373, 5639, 5640, 5642, 5644",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16809,CC9BB,Pearson Ranch (Bed CS18),"LACM 3376, 5611, 5612, 5613, 5643, 5647, 5874",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16810,CC9BB,Pearson Ranch (Bed CS20),"CIT 150, 150-E, 150-W, 150-1/2",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16803,CC9BB,Pearson Ranch (Bed SS15),LACM 5637,,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16808,CC9BB,Pearson Ranch (Bed SS18),"CIT 145 (includes LACM 3373 - 3380, 3390, 3548, 3549), LACM 5638",,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16811,CC9BB,Pearson Ranch (Bed SS21),CIT 147,,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16812,CC9BB,Pearson Ranch (Bed SS22),LACM 5648,,Sespe,,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
17527,CC9C,Kew Quarry,CIT 126; UCMP V-4215,,Sespe,,US,US,California,Ventura,Whitneyan,late Early Arikareean,33.3,20.43,12.87,,
17742,CC9D,Alamos Canyon,CIT 221; LACM (CIT) 3538,,Sespe,,US,US,California,Ventura,Harrisonian,,24.8,20.43,4.37,,
17672,CC9D,South Mountain (CIT 159),,,Sespe,Leptauchenid Zone,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17677,CC9D,South Mountain (CIT 220),,,Sespe,Leptauchenid Zone,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17670,CC9D,"Willard Canyon, South Mountain (CIT 157)",,,Sespe,Leptauchenid Zone,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17684,CC9D,"Morgan Canyon, South Mountain (UCMP V-75003)",UCMP loc. A725,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17671,CC9D,South Mountain (CIT 158),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17673,CC9D,South Mountain (CIT 160),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17674,CC9D,South Mountain (CIT 166),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17675,CC9D,South Mountain (CIT 167),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17676,CC9D,South Mountain (CIT 219),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17682,CC9D,South Mountain (UCMP 7304),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17679,CC9D,South Mountain (UCMP V-2601),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17680,CC9D,South Mountain (UCMP V-6101),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17681,CC9D,South Mountain (UCMP V-6102),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17685,CC9D,South Mountain (UCMP V-82003),,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17683,CC9D,"UCMP loc. 7305, Gas Plant Canyon, South Mountain",,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
17678,CC9D,"Willard Canyon, South Mountain (CIT 300)",,,Sespe,,US,US,California,Ventura,Arikareean,,30.8,20.43,10.37,,
16782,CC9II,Meiners Oaks (UCMP V-82372),,,Sespe,lower,US,US,California,Ventura,Duchesnean,,40.4,37.2,3.2,,
16818,CC9II,"CIT loc. 292, Sespe Creek, Transverse Ranges",,,Sespe,,US,US,California,Ventura,Eocene,,56,33.9,22.1,,
16817,CC9II,Hartman Ranch (UCMP V-5814) ,,,Sespe,,US,US,California,Ventura,Eocene,,56,33.9,22.1,,
167846,CC9IVB,LACM 7326,Lower Bowerman Landfill; LACM 7327,,Sespe,,US,US,California,Orange,early Early Arikareean,,30.8,20.43,10.37,,
167847,CC9IVB,LACM 7328,Lower Bowerman Landfill; LACM 7341,,Sespe,,US,US,California,Orange,early Early Arikareean,,30.8,20.43,10.37,,
167845,CC9IVC,Cooper Center 02010,ETC Bee Canyon; OCPC 2010,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
167844,CC9IVC,Cooper Center 02027,ETC Rattlesnake Canyon; OCPC 2027,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
167832,CC9IVC,Cooper Center 02014,ETC Jamboree Road; OCPC 2014,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167827,CC9IVC,Cooper Center 02016,ETC Windy Ridge; OCPC 2016,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167829,CC9IVC,Cooper Center 02017,ETC Windy Ridge; OCPC 2017,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167828,CC9IVC,Cooper Center 02018,ETC Windy Ridge; OCPC 2018,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167825,CC9IVC,Cooper Center 02038,ETC Windy Ridge; OCPC 2038,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
160461,CC9IVC,Cooper Center 02039,OCPC 2039,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167851,CC9IVC,LACM 6935,Upper Bowerman Landfill,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167850,CC9IVC,LACM 6938,Upper Bowerman Landfill,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167848,CC9IVC,LACM 6940,Upper Bowerman Landfill; LACM 6936; LACM 6937; LACM 6939; LACM 6942; LACM 6944; LACM 6945,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167849,CC9IVC,LACM 6943,Upper Bowerman Landfill,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167856,CC9IVC,LC 196,FTC/Oso; LC 198; LC 201,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167854,CC9IVC,LC 199,FTC/Oso,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167853,CC9IVC,LC 202,FTC/Oso; LC 205,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167855,CC9IVC,LC 204,FTC/Oso,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167852,CC9IVC,LSA SR-73,San Joaquin Hills,,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167826,CC9IVC,Parkridge,"LACM 6927, LACM 6928, LACM 6929, LACM 6930",,Sespe,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
175251,CC9IVC,"SDSNH loc. 6408, Cañada Chiquita","SDSNH 6408, SDMNH 6408",,Sespe,,US,US,California,Orange,Arikareean,,30.8,20.43,10.37,,
167843,CC9IVC,Cooper Center 02012,ETC Rattlesnake Canyon; OCPC 2012,,Vaqueros,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167836,CC9IVC,Cooper Center 02013,ETC Jamboree Road; OCPC 2013,,Vaqueros,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167839,CC9IVC,ETC Santiago Road,OCPC 2008; Cooper Center 02008,,Vaqueros,,US,US,California,Orange,late Late Arikareean,,30.8,20.43,10.37,,
167830,CC9IVD,Cooper Center 02019,ETC Windy Ridge; OCPC 2019; Cooper Center 02040; OCPC 2040,,Sespe,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
17762,CC9IVD,Bolero Lookout,LACM (CIT) V-449; Locality V1 of Schoellhamer et al. 1981,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
167840,CC9IVD,LC 151,Santiago Canyon Landfill; LC 162; LC 163; LC 194,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
167841,CC9IVD,LC 164,Santiago Canyon Landfill; LC 165; LC 166; LC 167; LC 168,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
167842,CC9IVD,LC 169,Santiago Canyon Landfill; LC 170; LC 171; LC 172; LC 173; LC 174,,Vaqueros,,US,US,California,Orange,Early Hemingfordian,,20.43,15.97,4.46,,
26574,CE1,Gray Fossil Site,,,,,US,US,Tennessee,Washington,Late Hemphillian,Blancan,10.3,1.8,8.5,,
18320,CE2,Pipe Creek Sinkhole,,,,,US,US,Indiana,Grant,Late Hemphillian,Blancan,10.3,1.8,8.5,,
18915,CP10,Grouse Creek Valley,,,Salt Lake,,US,US,Utah,Box Elder,Early Hemingfordian,Early Barstovian,20.43,13.6,6.83,,
17433,CP100A,White Clay,,White River,Brule,Whitney,US,US,Nebraska,Sheridan,Whitneyan,,33.3,30.8,2.5,,
17473,CP100II,Birdcage Gap West,UNSM Mo-106,Arikaree,Brule,Brown Siltstone,US,US,Nebraska,Morrill,Arikareean,,30.8,20.43,10.37,,
17709,CP100III,Ridgeview,UNSM Dw-121,Arikaree,,,US,US,Nebraska,Dawes,Geringian,,30.8,26.3,4.5,,
17495,CP101,Durnal Ranch Quarry,UNSM Mo-119,,Gering,Gering A,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17707,CP101,UNSM Bn-102,,,Gering,lower,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17720,CP101,West of UNSM Mo-110,,,Gering,lower,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17694,CP101,Southwest of Scotts Bluff Monument,,,Gering,lower,US,US,Nebraska,Scotts Bluff,Geringian,,30.8,26.3,4.5,,
17439,CP101,4 Jaw Prospect,UNSM Mo-158,,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17494,CP101,Dunlap Ranch Quarry,Mo-155,,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17512,CP101,George's Rhino Wash,"Mo-108, in part",,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17535,CP101,Lone Skull Quarry,Mo-160,,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17544,CP101,Mike's Main Channel,"Mo-108, in part",,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17590,CP101,Pumice Channel Prospect,Mo-154,,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17596,CP101,Redington Gap East Ant Hill #1,,,Gering,Unit B,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17566,CP101,Nerud's Thrasher Quarry,"Mo-104, in part",,Gering,Unit C,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17581,CP101,Oxbow Road,UNSM Mo-107 (in part); Upper Channel Prospect,,Gering,Unit C,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17597,CP101,Redington Gap East Ant Hill #2,"Mo-107, in part",,Gering,Unit C,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17713,CP101,UNSM Mo-110 (Upper),,,Gering,Unit C,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17474,CP101,Black Hank's Canyon,UNSM Mo-109,,Gering,Unit D,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17715,CP101,UNSM Sf-101 (Gering),,,Gering,Unit D,US,US,Nebraska,Scotts Bluff,Geringian,,30.8,26.3,4.5,,
17591,CP101,Pumpkin Creek,,,Gering,upper,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17521,CP101,Hogback Mountain,,,Gering,,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17525,CP101,Hubbard Gap (UNSM Bn-101),,,Gering,,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17576,CP101,Northwest of Hogback Mountain,,,Gering,,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17728,CP101,Wright Gap (Gering),,,Gering,,US,US,Nebraska,Banner,Geringian,,30.8,26.3,4.5,,
17577,CP101,Northwest of Lewellen,,,Gering,,US,US,Nebraska,Garden,Geringian,,30.8,26.3,4.5,,
17486,CP101,Court House Rock (Gering),,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17570,CP101,Northeast of Bridgeport (Gering),,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17575,CP101,Northwest of Bridgeport,,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17595,CP101,Redington Gap East,UNSM Mo-107,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17687,CP101,South of Bridgeport (Gering),,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17710,CP101,UNSM Mo-103,,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17712,CP101,UNSM Mo-110 (Lower),,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17714,CP101,UNSM Mo-111,,,Gering,,US,US,Nebraska,Morrill,Geringian,,30.8,26.3,4.5,,
17482,CP101,Castle Rock (Nebraska),,,Gering,,US,US,Nebraska,Scotts Bluff,Geringian,,30.8,26.3,4.5,,
17488,CP101,Coyote Rock,,,Gering,,US,US,Nebraska,Scotts Bluff,Geringian,,30.8,26.3,4.5,,
17664,CP101,Signal Butte,,,Gering,,US,US,Nebraska,Scotts Bluff,Geringian,,30.8,26.3,4.5,,
